Year,Geography,Gender,Age group,Selected demographic characteristics,GeoCode,Value
2016,New Brunswick,Females,75 years and over,First Nations (North American Indian),13,33.3
2016,New Brunswick,Females,75 years and over,Métis,13,29.4
2016,New Brunswick,Females,75 years and over,Inuk (Inuit),13,0.0
2016,New Brunswick,Females,75 years and over,Non-Indigenous identity,13,48.7
2016,Quebec,Total,Total,Total,24,77.2
2016,Quebec,Total,Total,Non immigrants,24,76.8
2016,Quebec,Total,Total,Immigrants,24,78.8
2016,Quebec,Total,Total,Non-permanent residents,24,88.6
2016,Quebec,Total,Total,Total visible minority population,24,79.4
2016,Quebec,Total,Total,Not a visible minority,24,77.0
2016,Quebec,Total,Total,Total Indigenous identity,24,60.0
2016,Quebec,Total,Total,First Nations (North American Indian),24,54.8
2016,Quebec,Total,Total,Métis,24,70.0
2016,Quebec,Total,Total,Inuk (Inuit),24,30.9
2016,Quebec,Total,Total,Non-Indigenous identity,24,77.6
2016,Quebec,Total,15 to 24 years,Total,24,65.2
2016,Quebec,Total,15 to 24 years,Non immigrants,24,64.6
2016,Quebec,Total,15 to 24 years,Immigrants,24,65.7
2016,Quebec,Total,15 to 24 years,Non-permanent residents,24,87.5
2016,Quebec,Total,15 to 24 years,Total visible minority population,24,67.5
2016,Quebec,Total,15 to 24 years,Not a visible minority,24,64.8
2016,Quebec,Total,15 to 24 years,Total Indigenous identity,24,43.7
2016,Quebec,Total,15 to 24 years,First Nations (North American Indian),24,39.0
2016,Quebec,Total,15 to 24 years,Métis,24,56.7
2016,Quebec,Total,15 to 24 years,Inuk (Inuit),24,23.0
2016,Quebec,Total,15 to 24 years,Non-Indigenous identity,24,65.9
2016,Quebec,Total,25 to 64 years,Total,24,83.8
2016,Quebec,Total,25 to 64 years,Non immigrants,24,83.4
2016,Quebec,Total,25 to 64 years,Immigrants,24,85.6
2016,Quebec,Total,25 to 64 years,Non-permanent residents,24,90.3
2016,Quebec,Total,25 to 64 years,Total visible minority population,24,84.7
2016,Quebec,Total,25 to 64 years,Not a visible minority,24,83.7
2016,Quebec,Total,25 to 64 years,Total Indigenous identity,24,66.0
2016,Quebec,Total,25 to 64 years,First Nations (North American Indian),24,61.0
2016,Quebec,Total,25 to 64 years,Métis,24,75.3
2016,Quebec,Total,25 to 64 years,Inuk (Inuit),24,35.3
2016,Quebec,Total,25 to 64 years,Non-Indigenous identity,24,84.2
2016,Quebec,Total,65 to 74 years,Total,24,72.2
2016,Quebec,Total,65 to 74 years,Non immigrants,24,72.8
2016,Quebec,Total,65 to 74 years,Immigrants,24,68.7
2016,Quebec,Total,65 to 74 years,Non-permanent residents,24,55.0
2016,Quebec,Total,65 to 74 years,Total visible minority population,24,67.9
2016,Quebec,Total,65 to 74 years,Not a visible minority,24,72.5
2016,Quebec,Total,65 to 74 years,Total Indigenous identity,24,58.9
2016,Quebec,Total,65 to 74 years,First Nations (North American Indian),24,54.3
2016,Quebec,Total,65 to 74 years,Métis,24,64.5
2016,Quebec,Total,65 to 74 years,Inuk (Inuit),24,27.8
2016,Quebec,Total,65 to 74 years,Non-Indigenous identity,24,72.5
2016,Quebec,Total,75 years and over,Total,24,50.4
2016,Quebec,Total,75 years and over,Non immigrants,24,51.0
2016,Quebec,Total,75 years and over,Immigrants,24,47.7
2016,Quebec,Total,75 years and over,Non-permanent residents,24,48.6
2016,Quebec,Total,75 years and over,Total visible minority population,24,52.3
2016,Quebec,Total,75 years and over,Not a visible minority,24,50.3
2016,Quebec,Total,75 years and over,Total Indigenous identity,24,36.1
2016,Quebec,Total,75 years and over,First Nations (North American Indian),24,33.2
2016,Quebec,Total,75 years and over,Métis,24,38.7
2016,Quebec,Total,75 years and over,Inuk (Inuit),24,16.7
2016,Quebec,Total,75 years and over,Non-Indigenous identity,24,50.6
2016,Quebec,Males,Total,Total,24,75.3
2016,Quebec,Males,Total,Non immigrants,24,74.2
2016,Quebec,Males,Total,Immigrants,24,80.0
2016,Quebec,Males,Total,Non-permanent residents,24,88.1
2016,Quebec,Males,Total,Total visible minority population,24,79.7
2016,Quebec,Males,Total,Not a visible minority,24,74.7
2016,Quebec,Males,Total,Total Indigenous identity,24,56.4
2016,Quebec,Males,Total,First Nations (North American Indian),24,50.1
2016,Quebec,Males,Total,Métis,24,67.0
2016,Quebec,Males,Total,Inuk (Inuit),24,27.8
2016,Quebec,Males,Total,Non-Indigenous identity,24,75.7
2016,Quebec,Males,15 to 24 years,Total,24,61.6
2016,Quebec,Males,15 to 24 years,Non immigrants,24,60.7
2016,Quebec,Males,15 to 24 years,Immigrants,24,63.0
2016,Quebec,Males,15 to 24 years,Non-permanent residents,24,87.0
2016,Quebec,Males,15 to 24 years,Total visible minority population,24,64.7
2016,Quebec,Males,15 to 24 years,Not a visible minority,24,61.0
2016,Quebec,Males,15 to 24 years,Total Indigenous identity,24,39.5
2016,Quebec,Males,15 to 24 years,First Nations (North American Indian),24,34.3
2016,Quebec,Males,15 to 24 years,Métis,24,52.2
2016,Quebec,Males,15 to 24 years,Inuk (Inuit),24,19.6
2016,Quebec,Males,15 to 24 years,Non-Indigenous identity,24,62.2
2016,Quebec,Males,25 to 64 years,Total,24,81.1
2016,Quebec,Males,25 to 64 years,Non immigrants,24,79.9
2016,Quebec,Males,25 to 64 years,Immigrants,24,86.0
2016,Quebec,Males,25 to 64 years,Non-permanent residents,24,89.3
2016,Quebec,Males,25 to 64 years,Total visible minority population,24,85.0
2016,Quebec,Males,25 to 64 years,Not a visible minority,24,80.5
2016,Quebec,Males,25 to 64 years,Total Indigenous identity,24,62.1
2016,Quebec,Males,25 to 64 years,First Nations (North American Indian),24,55.8
2016,Quebec,Males,25 to 64 years,Métis,24,72.1
2016,Quebec,Males,25 to 64 years,Inuk (Inuit),24,32.5
2016,Quebec,Males,25 to 64 years,Non-Indigenous identity,24,81.5
2016,Quebec,Males,65 to 74 years,Total,24,72.3
2016,Quebec,Males,65 to 74 years,Non immigrants,24,72.3
2016,Quebec,Males,65 to 74 years,Immigrants,24,72.5
2016,Quebec,Males,65 to 74 years,Non-permanent residents,24,57.3
2016,Quebec,Males,65 to 74 years,Total visible minority population,24,73.2
2016,Quebec,Males,65 to 74 years,Not a visible minority,24,72.3
2016,Quebec,Males,65 to 74 years,Total Indigenous identity,24,58.0
2016,Quebec,Males,65 to 74 years,First Nations (North American Indian),24,51.8
2016,Quebec,Males,65 to 74 years,Métis,24,64.6
2016,Quebec,Males,65 to 74 years,Inuk (Inuit),24,25.6
2016,Quebec,Males,65 to 74 years,Non-Indigenous identity,24,72.6
2016,Quebec,Males,75 years and over,Total,24,52.9
2016,Quebec,Males,75 years and over,Non immigrants,24,52.6
2016,Quebec,Males,75 years and over,Immigrants,24,54.4
2016,Quebec,Males,75 years and over,Non-permanent residents,24,66.7
2016,Quebec,Males,75 years and over,Total visible minority population,24,63.7
2016,Quebec,Males,75 years and over,Not a visible minority,24,52.4
2016,Quebec,Males,75 years and over,Total Indigenous identity,24,36.0
2016,Quebec,Males,75 years and over,First Nations (North American Indian),24,33.3
2016,Quebec,Males,75 years and over,Métis,24,38.6
2016,Quebec,Males,75 years and over,Inuk (Inuit),24,13.3
2016,Quebec,Males,75 years and over,Non-Indigenous identity,24,53.2
2016,Quebec,Females,Total,Total,24,79.1
2016,Quebec,Females,Total,Non immigrants,24,79.3
2016,Quebec,Females,Total,Immigrants,24,77.7
2016,Quebec,Females,Total,Non-permanent residents,24,89.2
2016,Quebec,Females,Total,Total visible minority population,24,79.1
2016,Quebec,Females,Total,Not a visible minority,24,79.2
2016,Quebec,Females,Total,Total Indigenous identity,24,63.5
2016,Quebec,Females,Total,First Nations (North American Indian),24,59.2
2016,Quebec,Females,Total,Métis,24,73.3
2016,Quebec,Females,Total,Inuk (Inuit),24,33.9
2016,Quebec,Females,Total,Non-Indigenous identity,24,79.5
2016,Quebec,Females,15 to 24 years,Total,24,69.1
2016,Quebec,Females,15 to 24 years,Non immigrants,24,68.6
2016,Quebec,Females,15 to 24 years,Immigrants,24,68.2
2016,Quebec,Females,15 to 24 years,Non-permanent residents,24,88.0
2016,Quebec,Females,15 to 24 years,Total visible minority population,24,70.2
2016,Quebec,Females,15 to 24 years,Not a visible minority,24,68.8
2016,Quebec,Females,15 to 24 years,Total Indigenous identity,24,48.0
2016,Quebec,Females,15 to 24 years,First Nations (North American Indian),24,43.7
2016,Quebec,Females,15 to 24 years,Métis,24,61.9
2016,Quebec,Females,15 to 24 years,Inuk (Inuit),24,26.4
2016,Quebec,Females,15 to 24 years,Non-Indigenous identity,24,69.7
2016,Quebec,Females,25 to 64 years,Total,24,86.5
2016,Quebec,Females,25 to 64 years,Non immigrants,24,86.7
2016,Quebec,Females,25 to 64 years,Immigrants,24,85.3
2016,Quebec,Females,25 to 64 years,Non-permanent residents,24,91.5
2016,Quebec,Females,25 to 64 years,Total visible minority population,24,84.4
2016,Quebec,Females,25 to 64 years,Not a visible minority,24,86.9
2016,Quebec,Females,25 to 64 years,Total Indigenous identity,24,69.8
2016,Quebec,Females,25 to 64 years,First Nations (North American Indian),24,65.8
2016,Quebec,Females,25 to 64 years,Métis,24,78.9
2016,Quebec,Females,25 to 64 years,Inuk (Inuit),24,37.9
2016,Quebec,Females,25 to 64 years,Non-Indigenous identity,24,86.9
2016,Quebec,Females,65 to 74 years,Total,24,72.1
2016,Quebec,Females,65 to 74 years,Non immigrants,24,73.3
2016,Quebec,Females,65 to 74 years,Immigrants,24,65.0
2016,Quebec,Females,65 to 74 years,Non-permanent residents,24,52.5
2016,Quebec,Females,65 to 74 years,Total visible minority population,24,63.0
2016,Quebec,Females,65 to 74 years,Not a visible minority,24,72.7
2016,Quebec,Females,65 to 74 years,Total Indigenous identity,24,59.8
2016,Quebec,Females,65 to 74 years,First Nations (North American Indian),24,56.5
2016,Quebec,Females,65 to 74 years,Métis,24,64.4
2016,Quebec,Females,65 to 74 years,Inuk (Inuit),24,29.6
2016,Quebec,Females,65 to 74 years,Non-Indigenous identity,24,72.3
2016,Quebec,Females,75 years and over,Total,24,48.4
2016,Quebec,Females,75 years and over,Non immigrants,24,49.7
2016,Quebec,Females,75 years and over,Immigrants,24,42.1
2016,Quebec,Females,75 years and over,Non-permanent residents,24,35.8
2016,Quebec,Females,75 years and over,Total visible minority population,24,43.7
2016,Quebec,Females,75 years and over,Not a visible minority,24,48.7
2016,Quebec,Females,75 years and over,Total Indigenous identity,24,36.4
2016,Quebec,Females,75 years and over,First Nations (North American Indian),24,33.0
2016,Quebec,Females,75 years and over,Métis,24,39.3
2016,Quebec,Females,75 years and over,Inuk (Inuit),24,28.6
2016,Quebec,Females,75 years and over,Non-Indigenous identity,24,48.6
2016,Ontario,Total,Total,Total,35,80.5
2016,Ontario,Total,Total,Non immigrants,35,80.5
2016,Ontario,Total,Total,Immigrants,35,80.2
2016,Ontario,Total,Total,Non-permanent residents,35,88.1
2016,Ontario,Total,Total,Total visible minority population,35,82.4
2016,Ontario,Total,Total,Not a visible minority,35,79.8
2016,Ontario,Total,Total,Total Indigenous identity,35,67.0
2016,Ontario,Total,Total,First Nations (North American Indian),35,62.6
2016,Ontario,Total,Total,Métis,35,74.4
2016,Ontario,Total,Total,Inuk (Inuit),35,66.0
2016,Ontario,Total,Total,Non-Indigenous identity,35,80.9
2016,Ontario,Total,15 to 24 years,Total,35,66.5
2016,Ontario,Total,15 to 24 years,Non immigrants,35,64.5
2016,Ontario,Total,15 to 24 years,Immigrants,35,71.5
2016,Ontario,Total,15 to 24 years,Non-permanent residents,35,85.6
2016,Ontario,Total,15 to 24 years,Total visible minority population,35,70.0
2016,Ontario,Total,15 to 24 years,Not a visible minority,35,64.5
2016,Ontario,Total,15 to 24 years,Total Indigenous identity,35,51.5
2016,Ontario,Total,15 to 24 years,First Nations (North American Indian),35,47.1
2016,Ontario,Total,15 to 24 years,Métis,35,60.0
2016,Ontario,Total,15 to 24 years,Inuk (Inuit),35,51.1
2016,Ontario,Total,15 to 24 years,Non-Indigenous identity,35,67.0
2016,Ontario,Total,25 to 64 years,Total,35,87.9
2016,Ontario,Total,25 to 64 years,Non immigrants,35,88.4
2016,Ontario,Total,25 to 64 years,Immigrants,35,87.0
2016,Ontario,Total,25 to 64 years,Non-permanent residents,35,90.8
2016,Ontario,Total,25 to 64 years,Total visible minority population,35,88.4
2016,Ontario,Total,25 to 64 years,Not a visible minority,35,87.8
2016,Ontario,Total,25 to 64 years,Total Indigenous identity,35,74.8
2016,Ontario,Total,25 to 64 years,First Nations (North American Indian),35,70.3
2016,Ontario,Total,25 to 64 years,Métis,35,82.3
2016,Ontario,Total,25 to 64 years,Inuk (Inuit),35,71.9
2016,Ontario,Total,25 to 64 years,Non-Indigenous identity,35,88.3
2016,Ontario,Total,65 to 74 years,Total,35,73.7
2016,Ontario,Total,65 to 74 years,Non immigrants,35,74.6
2016,Ontario,Total,65 to 74 years,Immigrants,35,72.6
2016,Ontario,Total,65 to 74 years,Non-permanent residents,35,66.1
2016,Ontario,Total,65 to 74 years,Total visible minority population,35,74.4
2016,Ontario,Total,65 to 74 years,Not a visible minority,35,73.6
2016,Ontario,Total,65 to 74 years,Total Indigenous identity,35,55.1
2016,Ontario,Total,65 to 74 years,First Nations (North American Indian),35,51.8
2016,Ontario,Total,65 to 74 years,Métis,35,58.7
2016,Ontario,Total,65 to 74 years,Inuk (Inuit),35,74.1
2016,Ontario,Total,65 to 74 years,Non-Indigenous identity,35,74.0
2016,Ontario,Total,75 years and over,Total,35,56.1
2016,Ontario,Total,75 years and over,Non immigrants,35,57.9
2016,Ontario,Total,75 years and over,Immigrants,35,54.0
2016,Ontario,Total,75 years and over,Non-permanent residents,35,50.8
2016,Ontario,Total,75 years and over,Total visible minority population,35,58.8
2016,Ontario,Total,75 years and over,Not a visible minority,35,55.5
2016,Ontario,Total,75 years and over,Total Indigenous identity,35,35.7
2016,Ontario,Total,75 years and over,First Nations (North American Indian),35,32.4
2016,Ontario,Total,75 years and over,Métis,35,38.4
2016,Ontario,Total,75 years and over,Inuk (Inuit),35,40.0
2016,Ontario,Total,75 years and over,Non-Indigenous identity,35,56.3
2016,Ontario,Males,Total,Total,35,79.5
2016,Ontario,Males,Total,Non immigrants,35,78.6
2016,Ontario,Males,Total,Immigrants,35,81.0
2016,Ontario,Males,Total,Non-permanent residents,35,87.9
2016,Ontario,Males,Total,Total visible minority population,35,82.8
2016,Ontario,Males,Total,Not a visible minority,35,78.3
2016,Ontario,Males,Total,Total Indigenous identity,35,63.5
2016,Ontario,Males,Total,First Nations (North American Indian),35,58.7
2016,Ontario,Males,Total,Métis,35,71.1
2016,Ontario,Males,Total,Inuk (Inuit),35,65.6
2016,Ontario,Males,Total,Non-Indigenous identity,35,80.0
2016,Ontario,Males,15 to 24 years,Total,35,65.2
2016,Ontario,Males,15 to 24 years,Non immigrants,35,63.1
2016,Ontario,Males,15 to 24 years,Immigrants,35,70.6
2016,Ontario,Males,15 to 24 years,Non-permanent residents,35,85.1
2016,Ontario,Males,15 to 24 years,Total visible minority population,35,69.1
2016,Ontario,Males,15 to 24 years,Not a visible minority,35,63.0
2016,Ontario,Males,15 to 24 years,Total Indigenous identity,35,48.8
2016,Ontario,Males,15 to 24 years,First Nations (North American Indian),35,44.3
2016,Ontario,Males,15 to 24 years,Métis,35,57.5
2016,Ontario,Males,15 to 24 years,Inuk (Inuit),35,46.6
2016,Ontario,Males,15 to 24 years,Non-Indigenous identity,35,65.8
2016,Ontario,Males,25 to 64 years,Total,35,86.4
2016,Ontario,Males,25 to 64 years,Non immigrants,35,86.2
2016,Ontario,Males,25 to 64 years,Immigrants,35,86.8
2016,Ontario,Males,25 to 64 years,Non-permanent residents,35,90.3
2016,Ontario,Males,25 to 64 years,Total visible minority population,35,88.4
2016,Ontario,Males,25 to 64 years,Not a visible minority,35,85.7
2016,Ontario,Males,25 to 64 years,Total Indigenous identity,35,71.1
2016,Ontario,Males,25 to 64 years,First Nations (North American Indian),35,66.1
2016,Ontario,Males,25 to 64 years,Métis,35,79.1
2016,Ontario,Males,25 to 64 years,Inuk (Inuit),35,72.3
2016,Ontario,Males,25 to 64 years,Non-Indigenous identity,35,86.8
2016,Ontario,Males,65 to 74 years,Total,35,74.2
2016,Ontario,Males,65 to 74 years,Non immigrants,35,73.2
2016,Ontario,Males,65 to 74 years,Immigrants,35,75.7
2016,Ontario,Males,65 to 74 years,Non-permanent residents,35,71.4
2016,Ontario,Males,65 to 74 years,Total visible minority population,35,79.3
2016,Ontario,Males,65 to 74 years,Not a visible minority,35,73.1
2016,Ontario,Males,65 to 74 years,Total Indigenous identity,35,52.5
2016,Ontario,Males,65 to 74 years,First Nations (North American Indian),35,48.8
2016,Ontario,Males,65 to 74 years,Métis,35,56.4
2016,Ontario,Males,65 to 74 years,Inuk (Inuit),35,92.9
2016,Ontario,Males,65 to 74 years,Non-Indigenous identity,35,74.6
2016,Ontario,Males,75 years and over,Total,35,57.3
2016,Ontario,Males,75 years and over,Non immigrants,35,55.5
2016,Ontario,Males,75 years and over,Immigrants,35,59.2
2016,Ontario,Males,75 years and over,Non-permanent residents,35,59.1
2016,Ontario,Males,75 years and over,Total visible minority population,35,68.7
2016,Ontario,Males,75 years and over,Not a visible minority,35,55.0
2016,Ontario,Males,75 years and over,Total Indigenous identity,35,34.5
2016,Ontario,Males,75 years and over,First Nations (North American Indian),35,31.6
2016,Ontario,Males,75 years and over,Métis,35,35.6
2016,Ontario,Males,75 years and over,Inuk (Inuit),35,0.0
2016,Ontario,Males,75 years and over,Non-Indigenous identity,35,57.5
2016,Ontario,Females,Total,Total,35,81.5
2016,Ontario,Females,Total,Non immigrants,35,82.4
2016,Ontario,Females,Total,Immigrants,35,79.5
2016,Ontario,Females,Total,Non-permanent residents,35,88.4
2016,Ontario,Females,Total,Total visible minority population,35,82.0
2016,Ontario,Females,Total,Not a visible minority,35,81.2
2016,Ontario,Females,Total,Total Indigenous identity,35,70.1
2016,Ontario,Females,Total,First Nations (North American Indian),35,66.0
2016,Ontario,Females,Total,Métis,35,77.5
2016,Ontario,Females,Total,Inuk (Inuit),35,66.4
2016,Ontario,Females,Total,Non-Indigenous identity,35,81.8
2016,Ontario,Females,15 to 24 years,Total,35,67.8
2016,Ontario,Females,15 to 24 years,Non immigrants,35,66.1
2016,Ontario,Females,15 to 24 years,Immigrants,35,72.4
2016,Ontario,Females,15 to 24 years,Non-permanent residents,35,86.0
2016,Ontario,Females,15 to 24 years,Total visible minority population,35,70.9
2016,Ontario,Females,15 to 24 years,Not a visible minority,35,66.1
2016,Ontario,Females,15 to 24 years,Total Indigenous identity,35,54.2
2016,Ontario,Females,15 to 24 years,First Nations (North American Indian),35,49.9
2016,Ontario,Females,15 to 24 years,Métis,35,62.7
2016,Ontario,Females,15 to 24 years,Inuk (Inuit),35,56.1
2016,Ontario,Females,15 to 24 years,Non-Indigenous identity,35,68.4
2016,Ontario,Females,25 to 64 years,Total,35,89.4
2016,Ontario,Females,25 to 64 years,Non immigrants,35,90.5
2016,Ontario,Females,25 to 64 years,Immigrants,35,87.2
2016,Ontario,Females,25 to 64 years,Non-permanent residents,35,91.3
2016,Ontario,Females,25 to 64 years,Total visible minority population,35,88.3
2016,Ontario,Females,25 to 64 years,Not a visible minority,35,89.8
2016,Ontario,Females,25 to 64 years,Total Indigenous identity,35,78.0
2016,Ontario,Females,25 to 64 years,First Nations (North American Indian),35,74.0
2016,Ontario,Females,25 to 64 years,Métis,35,85.1
2016,Ontario,Females,25 to 64 years,Inuk (Inuit),35,71.1
2016,Ontario,Females,25 to 64 years,Non-Indigenous identity,35,89.7
2016,Ontario,Females,65 to 74 years,Total,35,73.3
2016,Ontario,Females,65 to 74 years,Non immigrants,35,75.9
2016,Ontario,Females,65 to 74 years,Immigrants,35,69.9
2016,Ontario,Females,65 to 74 years,Non-permanent residents,35,61.4
2016,Ontario,Females,65 to 74 years,Total visible minority population,35,70.1
2016,Ontario,Females,65 to 74 years,Not a visible minority,35,74.0
2016,Ontario,Females,65 to 74 years,Total Indigenous identity,35,57.3
2016,Ontario,Females,65 to 74 years,First Nations (North American Indian),35,54.3
2016,Ontario,Females,65 to 74 years,Métis,35,60.8
2016,Ontario,Females,65 to 74 years,Inuk (Inuit),35,58.3
2016,Ontario,Females,65 to 74 years,Non-Indigenous identity,35,73.6
2016,Ontario,Females,75 years and over,Total,35,55.1
2016,Ontario,Females,75 years and over,Non immigrants,35,59.7
2016,Ontario,Females,75 years and over,Immigrants,35,49.8
2016,Ontario,Females,75 years and over,Non-permanent residents,35,46.5
2016,Ontario,Females,75 years and over,Total visible minority population,35,50.9
2016,Ontario,Females,75 years and over,Not a visible minority,35,55.9
2016,Ontario,Females,75 years and over,Total Indigenous identity,35,36.5
2016,Ontario,Females,75 years and over,First Nations (North American Indian),35,32.9
2016,Ontario,Females,75 years and over,Métis,35,41.0
2016,Ontario,Females,75 years and over,Inuk (Inuit),35,28.6
2016,Ontario,Females,75 years and over,Non-Indigenous identity,35,55.3
2016,Manitoba,Total,Total,Total,46,75.3
2016,Manitoba,Total,Total,Non immigrants,46,74.0
2016,Manitoba,Total,Total,Immigrants,46,79.1
2016,Manitoba,Total,Total,Non-permanent residents,46,90.6
2016,Manitoba,Total,Total,Total visible minority population,46,84.3
2016,Manitoba,Total,Total,Not a visible minority,46,73.5
2016,Manitoba,Total,Total,Total Indigenous identity,46,55.2
2016,Manitoba,Total,Total,First Nations (North American Indian),46,44.6
2016,Manitoba,Total,Total,Métis,46,68.1
2016,Manitoba,Total,Total,Inuk (Inuit),46,59.2
2016,Manitoba,Total,Total,Non-Indigenous identity,46,78.9
2016,Manitoba,Total,15 to 24 years,Total,46,59.3
2016,Manitoba,Total,15 to 24 years,Non immigrants,46,57.8
2016,Manitoba,Total,15 to 24 years,Immigrants,46,60.3
2016,Manitoba,Total,15 to 24 years,Non-permanent residents,46,87.7
2016,Manitoba,Total,15 to 24 years,Total visible minority population,46,67.8
2016,Manitoba,Total,15 to 24 years,Not a visible minority,46,57.0
2016,Manitoba,Total,15 to 24 years,Total Indigenous identity,46,39.4
2016,Manitoba,Total,15 to 24 years,First Nations (North American Indian),46,29.6
2016,Manitoba,Total,15 to 24 years,Métis,46,55.1
2016,Manitoba,Total,15 to 24 years,Inuk (Inuit),46,52.2
2016,Manitoba,Total,15 to 24 years,Non-Indigenous identity,46,65.6
2016,Manitoba,Total,25 to 64 years,Total,46,83.2
2016,Manitoba,Total,25 to 64 years,Non immigrants,46,82.0
2016,Manitoba,Total,25 to 64 years,Immigrants,46,86.6
2016,Manitoba,Total,25 to 64 years,Non-permanent residents,46,93.5
2016,Manitoba,Total,25 to 64 years,Total visible minority population,46,91.2
2016,Manitoba,Total,25 to 64 years,Not a visible minority,46,81.4
2016,Manitoba,Total,25 to 64 years,Total Indigenous identity,46,63.4
2016,Manitoba,Total,25 to 64 years,First Nations (North American Indian),46,52.8
2016,Manitoba,Total,25 to 64 years,Métis,46,75.6
2016,Manitoba,Total,25 to 64 years,Inuk (Inuit),46,63.3
2016,Manitoba,Total,25 to 64 years,Non-Indigenous identity,46,86.8
2016,Manitoba,Total,65 to 74 years,Total,46,67.8
2016,Manitoba,Total,65 to 74 years,Non immigrants,46,66.9
2016,Manitoba,Total,65 to 74 years,Immigrants,46,71.4
2016,Manitoba,Total,65 to 74 years,Non-permanent residents,46,43.8
2016,Manitoba,Total,65 to 74 years,Total visible minority population,46,73.9
2016,Manitoba,Total,65 to 74 years,Not a visible minority,46,67.2
2016,Manitoba,Total,65 to 74 years,Total Indigenous identity,46,44.8
2016,Manitoba,Total,65 to 74 years,First Nations (North American Indian),46,34.6
2016,Manitoba,Total,65 to 74 years,Métis,46,52.8
2016,Manitoba,Total,65 to 74 years,Inuk (Inuit),46,75.0
2016,Manitoba,Total,65 to 74 years,Non-Indigenous identity,46,69.9
2016,Manitoba,Total,75 years and over,Total,46,52.2
2016,Manitoba,Total,75 years and over,Non immigrants,46,51.9
2016,Manitoba,Total,75 years and over,Immigrants,46,52.9
2016,Manitoba,Total,75 years and over,Non-permanent residents,46,50.0
2016,Manitoba,Total,75 years and over,Total visible minority population,46,55.0
2016,Manitoba,Total,75 years and over,Not a visible minority,46,52.0
2016,Manitoba,Total,75 years and over,Total Indigenous identity,46,24.3
2016,Manitoba,Total,75 years and over,First Nations (North American Indian),46,16.8
2016,Manitoba,Total,75 years and over,Métis,46,29.3
2016,Manitoba,Total,75 years and over,Inuk (Inuit),46,0.0
2016,Manitoba,Total,75 years and over,Non-Indigenous identity,46,53.5
2016,Manitoba,Males,Total,Total,46,73.0
2016,Manitoba,Males,Total,Non immigrants,46,70.9
2016,Manitoba,Males,Total,Immigrants,46,79.4
2016,Manitoba,Males,Total,Non-permanent residents,46,91.1
2016,Manitoba,Males,Total,Total visible minority population,46,84.7
2016,Manitoba,Males,Total,Not a visible minority,46,70.6
2016,Manitoba,Males,Total,Total Indigenous identity,46,50.2
2016,Manitoba,Males,Total,First Nations (North American Indian),46,38.7
2016,Manitoba,Males,Total,Métis,46,63.9
2016,Manitoba,Males,Total,Inuk (Inuit),46,51.4
2016,Manitoba,Males,Total,Non-Indigenous identity,46,77.0
2016,Manitoba,Males,15 to 24 years,Total,46,57.9
2016,Manitoba,Males,15 to 24 years,Non immigrants,46,56.0
2016,Manitoba,Males,15 to 24 years,Immigrants,46,59.0
2016,Manitoba,Males,15 to 24 years,Non-permanent residents,46,88.5
2016,Manitoba,Males,15 to 24 years,Total visible minority population,46,67.6
2016,Manitoba,Males,15 to 24 years,Not a visible minority,46,55.2
2016,Manitoba,Males,15 to 24 years,Total Indigenous identity,46,36.9
2016,Manitoba,Males,15 to 24 years,First Nations (North American Indian),46,27.3
2016,Manitoba,Males,15 to 24 years,Métis,46,52.1
2016,Manitoba,Males,15 to 24 years,Inuk (Inuit),46,33.3
2016,Manitoba,Males,15 to 24 years,Non-Indigenous identity,46,64.4
2016,Manitoba,Males,25 to 64 years,Total,46,80.1
2016,Manitoba,Males,25 to 64 years,Non immigrants,46,78.2
2016,Manitoba,Males,25 to 64 years,Immigrants,46,86.2
2016,Manitoba,Males,25 to 64 years,Non-permanent residents,46,93.7
2016,Manitoba,Males,25 to 64 years,Total visible minority population,46,91.3
2016,Manitoba,Males,25 to 64 years,Not a visible minority,46,77.7
2016,Manitoba,Males,25 to 64 years,Total Indigenous identity,46,57.4
2016,Manitoba,Males,25 to 64 years,First Nations (North American Indian),46,45.3
2016,Manitoba,Males,25 to 64 years,Métis,46,70.7
2016,Manitoba,Males,25 to 64 years,Inuk (Inuit),46,61.9
2016,Manitoba,Males,25 to 64 years,Non-Indigenous identity,46,84.0
2016,Manitoba,Males,65 to 74 years,Total,46,66.3
2016,Manitoba,Males,65 to 74 years,Non immigrants,46,64.4
2016,Manitoba,Males,65 to 74 years,Immigrants,46,73.8
2016,Manitoba,Males,65 to 74 years,Non-permanent residents,46,50.0
2016,Manitoba,Males,65 to 74 years,Total visible minority population,46,79.2
2016,Manitoba,Males,65 to 74 years,Not a visible minority,46,65.1
2016,Manitoba,Males,65 to 74 years,Total Indigenous identity,46,42.2
2016,Manitoba,Males,65 to 74 years,First Nations (North American Indian),46,32.1
2016,Manitoba,Males,65 to 74 years,Métis,46,50.2
2016,Manitoba,Males,65 to 74 years,Inuk (Inuit),46,66.7
2016,Manitoba,Males,65 to 74 years,Non-Indigenous identity,46,68.4
2016,Manitoba,Males,75 years and over,Total,46,51.5
2016,Manitoba,Males,75 years and over,Non immigrants,46,49.2
2016,Manitoba,Males,75 years and over,Immigrants,46,59.5
2016,Manitoba,Males,75 years and over,Non-permanent residents,46,60.0
2016,Manitoba,Males,75 years and over,Total visible minority population,46,66.8
2016,Manitoba,Males,75 years and over,Not a visible minority,46,50.5
